Total_Equity,Banks,Number_Of_Bankrupted_Banks,Number_Of_Live_Banks,Total_Asset,Number_Of_Affected_Banks
81.64416599454628,3,0,3,514.8798082460397,0
83.22125999929693,3,0,3,455.080280993541,0
84.43579154191542,3,0,3,463.5609562541874,0
85.92195959907272,3,0,3,468.2992293383878,0
86.54153988212002,3,0,3,482.81857398877963,0
87.63245680083455,3,0,3,484.3720394358403,0
89.67732953474095,3,0,3,485.61412391637054,0
91.01518807393023,3,0,3,486.2714202604211,0
91.94652980706039,3,0,3,497.0358533959454,0
92.84569626388877,3,0,3,507.0305853386579,0
