A,B,C
40.63583100893549,15.246049829295027,25.762285156315773
42.04795341242093,15.425134882312946,25.74817170456306
42.32899991414434,15.682734641764226,26.424056986006846
42.59581683401565,16.202556433771733,27.123586331285335
42.59628827151174,16.513383211752142,27.431868398856132
42.65702439520096,16.895277259727784,28.0801551459058
43.75133902959797,17.166433540490406,28.759556964652568
44.257051812893124,17.37913109802552,29.379005163011584
44.730726298730445,17.837204560725848,29.378598947604086
44.90679326774743,17.92933882327314,30.00956417286819
